,V003,FACILITYID
500,FMS182,10001820
501,PVA045,10006218
502,PFL105,10004557
503,PCO040,10000567
504,PNV005,10003799
505,PMD019,10002364
506,PNV006,10000261
507,FAR013,10003615
508,PKY028,10000103
509,PTX110,10002941
510,PWI026,10002558
511,PMI028,10001342
512,PWV013,10001879
513,PMN011,10001322
514,PNC010,10002633
515,PSC026,10002691
516,PFL034,10000432
517,PMD007,10006353
518,PVA018,10003324
519,PFL147,10004574
520,PTX132,10000245
521,POK051,10003569
522,PIL051,10000673
523,FMN174,10001320
524,PMO020,10001624
525,PPA073,10000719
526,PFL080,10000453
527,PFL030,10002187
528,PFL159,10004576
529,PTX013,10000234
530,PTX029,10000243
531,PIN030,10001063
532,PFL063,10000494
533,PVA022,10003268
534,PCO010,10000573
535,POK015,10003568
536,PFL051,10000369
537,PGA047,10002138
538,PPA055,10003048
539,PAL019,10001957
540,PFL146,10004573
541,PFL162,10000360
542,PVA052,10001594
543,PNY063,10003175
544,FWV364,10006177
545,POH051,10003444
546,PLA003,10002416
547,PMD026,10001542
548,POH058,10003362
549,PMD018,10001543
550,PGA100,10000316
551,PTX136,10002827
552,PNC043,10001776
553,PMI027,10001366
554,FTX300,10001975
555,FWV358,10000023
556,PCO008,10002233
557,PNY038,10003149
558,PGA095,10000309
559,PNY026,10003141
560,PNY037,10003152
561,PGA112,10002147
562,POK030,10001733
563,PFL160,10004575
564,PIL057,10000667
565,FAL002,10006173
566,PGA024,10002146
567,POK014,10001734
568,PNC070,10001793
569,FGA102,10000320
570,PPA064,10003121
571,PTX128,10000242
572,POH018,10003424
573,PFL158,10000417
574,FOR242,10001301
575,PNY027,10001504
576,PFL133,10000512
577,PTX078,10000184
578,PWA027,10001679
579,PTN009,10003496
580,PPA060,10003109
581,PIN037,10001072
582,FAR011,10003614
583,PTX060,10002916
584,POH025,10003414
585,PPA053,10000709
586,POH027,10000982
587,PPA074,10003062
588,PIL038,10000688
589,PTX059,10002917
590,PTN001,10001713
591,PPA065,10000721
592,POH030,10003415
593,PTN015,10006664
594,PMS034,10004255
595,PMD008,10001569
596,POH012,10002432
597,PCA028,10002346
598,PMD015,10001546
599,PNV007,10003004
600,PTX055,10002714
601,PTX012,10002884
602,PNY036,10000751
603,PIA030,10001080
604,PIA001,10001082
605,PIA023,10001091
606,PMT006,10006184
607,PMT004,10001936
608,POR005,10000257
609,PNC078,10004146
610,PIA036,10001866
611,PNY059,10003138
612,PIN014,10005599
613,PNY043,10003227
614,PNJ015,10003993
615,PNY010,10000744
616,PIN010,10004920
617,PNY012,10003127
618,PIN028,10001071
619,PMS010,10001816
620,PMD021,10001547
621,PPA003,10006377
622,FKS127,10001825
623,PPA005,10006378
624,PPA010,10006375
625,PIA027,10001096
626,PIA022,10001087
627,PIA006,10001099
628,PIA034,10005639
629,PIA024,10001100
630,PIA019,10001078
631,PIA020,10001862
632,PIA025,10001861
633,PIA004,10001871
634,PIA031,10001869
635,PVA026,10003316
636,PMD011,10005831
637,PFL118,10000370
638,PNH009,10004116
639,FOK238,10003579
640,PNH010,10001737
641,PMO029,10001636
642,PMO022,10001614
643,PNC023,10004177
644,PNC049,10001801
645,PWY004,10000053
646,PAK025,10006203
647,PAK024,10003759
648,PNC059,10004183
649,PMD010,10001556
650,PNC076,10004174
651,PWI044,10002600
652,PWI058,10002560
653,PNC079,10004153
654,PAK004,10001231
655,PFL067,10000533
656,FMD163,10001555
657,PWA013,10002510
658,PWI009,10002556
659,POK043,10003587
660,POH031,10000980
661,PFL119,10004586
662,PFL110,10004598
663,PNJ009,10002301
664,PFL021,10001448
665,PPA077,10000737
666,PFL125,10006168
667,PPA007,10005222
668,PID018,10001176
669,PAL004,10001204
670,PPA076,10003082
671,PNJ037,10001519
672,POK012,10002629
673,POH050,10000983
674,PTX077,10000160
675,PFL045,10004579
676,PFL044,10004580
677,PWV015,10001873
678,PPA002,10006374
679,FNY223,10001507
680,PNY064,10003134
681,PNY004,10002287
682,PNY060,10003165
683,PFL074,10000378
684,PMA018,10001392
685,PAK013,10001235
686,PND001,10006587
687,PVA013,10003255
688,PMT021,10003626
689,PAK002,10001233
690,PVA036,10003320
691,PVA028,10003247
692,PAK012,10001241
693,PAK010,10003764
694,PMI006,10003846
695,PAL039,10000140
696,PAL020,10001197
697,PAL033,10001222
698,PAL038,10003710
699,PMI032,10000267
700,PAR001,10000076
701,PAR018,10006381
702,PWI052,10002608
703,PWI052,10002608
704,PAR010,10000083
705,PMO021,10000941
706,PNY052,10003208
707,PAZ012,10000600
708,PWA019,10002463
709,PWA028,10001684
710,PWA009,10001687
711,PWA001,10006219
712,PWA007,10000987
713,PWA016,10001676
714,PWA003,10002440
715,PWA005,10002460
716,PWA026,10002505
717,PVT007,10000094
718,PVT003,10000095
719,PVT005,10001913
720,FAZ020,10000613
721,FTX322,10000191
722,PNC014,10002638
723,PNC020,10002640
724,PNC029,10004159
725,FAZ021,10000624
726,FAZ018,10000601
727,PNC040,10004197
728,PNC041,10001027
729,PIA002,10006542
730,PIA012,10001095
731,PIA013,10004952
732,PNC061,10001771
733,FTX319,10000163
734,PNC071,10001784
735,FCA053,10000830
736,FCA050,10000832
737,FCA051,10000831
738,PIL047,10000685
739,FPA247,10000712
740,PNY045,10003148
741,PMI005,10001362
742,PMI013,10001375
743,FPA257,10001484
744,POR020,10006966
745,PNY013,10003166
746,PNY025,10003167
747,PAZ013,10002245
748,PAZ015,10002249
749,PAZ017,10000595
750,PAZ005,10003957
751,PAZ025,10000626
752,PAZ001,10003973
753,PAZ027,10003974
754,PCA004,10000826
755,PCA013,10000836
756,POH021,10003412
757,PWI051,10001002
758,PWI063,10002607
759,POH045,10003425
760,POH047,10002431
761,POH057,10003350
762,POH066,10003434
763,PLA021,10000952
764,PID008,10001177
765,PCA101,10000802
766,POH034,10003397
767,POH035,10003372
768,PCA095,10001522
769,PMT016,10001154
770,PMT019,10006581
771,PFL056,10000332
772,PFL101,10000416
773,PIL033,10000636
774,PIL046,10000652
775,PIL015,10000638
776,PFL137,10000455
777,PFL139,10000455
778,PIL026,10000682
779,FMN173,10001337
780,PMN007,10001325
781,PMN009,10001331
782,PMN008,10001319
783,PFL083,10000479
784,PGA011,10004475
785,PGA017,10006339
786,PGA062,10001415
787,PGA062,10001415
788,PGA065,10006453
789,PGA066,10000303
790,PGA070,10001423
791,PGA075,10001414
792,PGA111,10000283
793,PGA115,10004487
794,PGA119,10000318
795,PNC019,10001798
796,PNC037,10004190
797,PFL113,10000345
798,PFL145,10000374
799,PFL016,10004569
800,PFL155,10000400
801,PFL015,10001454
802,PFL078,10004606
803,PFL109,10004650
804,PFL136,10000480
805,PFL141,10004611
806,PFL154,10002178
807,PFL156,10006324
808,PTX019,10001969
809,PTX020,10002726
810,PTX043,10000197
811,PTX115,10000198
812,PTX122,10000213
813,PTX123,10002799
814,PTX068,10002755
815,PTX014,10002886
816,PTX100,10002828
817,PCA012,10000799
818,PCA011,10001530
819,PWY008,10000056
820,PFL084,10000414
821,PFL092,10000382
822,PFL091,10000381
823,PFL097,10000409
824,PFL117,10000430
825,PFL153,10000445
826,PFL151,10000444
827,PAL036,10001218
828,PLA011,10004094
829,PLA020,10000963
830,PFL027,10000460
831,PFL025,10002174
832,PFL026,10002175
833,PFL046,10006167
834,PFL065,10000465
835,PFL116,10000474
836,PFL115,10000473
837,PFL165,10000467
838,FIL112,10000679
839,PME008,10001938
840,FGA105,10000315
841,PGA003,10004527
842,PFL108,10006332
843,PFL107,10000495
844,PGA031,10002121
845,PGA034,10000313
846,PTX104,10000220
847,PCA020,10002322
848,PIL043,10000678
849,PGA008,10001411
850,PGA038,10001426
851,FMT385,10006570
852,PMT024,10006570
853,FMT191,10001156
854,FPA259,10000720
855,PMT026,10003625
856,PCO006,10002228
857,PID004,10001186
858,PID003,10001172
859,PID010,10001187
860,PCT003,10002400
861,PDE007,10000704
862,PDE005,10000699
863,PDE011,10000707
864,PDE009,10000701
865,PDE002,10002260
866,PDE003,10006387
867,PFL002,10000336
868,PFL011,10001445
869,PFL055,10000333
870,PFL104,10000368
871,PFL103,10000365
872,PFL130,10004556
873,PFL128,10004555
874,PFL129,10000339
875,PFL033,10000393
876,PFL032,10000395
877,PFL031,10000396
878,FCA030,10005303
879,PHI007,10003691
880,PHI006,10000127
881,PMO034,10001609
882,PMO001,10002405
883,PMO003,10001622
884,PMO025,10001630
885,PMO006,10001608
886,PMO008,10004065
887,PMO009,10001631
888,PMO015,10001626
889,PMO032,10000942
890,PMO035,10001612
891,PMO033,10004060
892,PMS027,10001804
893,PKY029,10000106
894,PTX026,10002725
895,PTX096,10002844
896,PTX117,10000199
897,PTX028,10002900
898,PKS006,10001031
899,POK021,10001016
900,POK027,10003590
901,POK034,10001730
902,POK026,10003576
903,POK037,10003574
904,POK039,10006636
905,POR008,10001305
906,POR012,10001306
907,PPA066,10000728
908,PRI001,10001721
909,PRI004,10003561
910,PRI005,10003556
911,PRI007,10003554
912,PRI008,10003557
913,PRI010,10003558
914,PSC010,10001132
915,PSC021,10002685
916,PSC027,10002668
917,PCA046,10000780
918,PAL027,10001221
919,PFL057,10000412
920,PIL013,10006979
921,PMT010,10006572
922,PWV009,10006674
923,PIA035,10001853
924,PMT029,10006576
925,PFL111,10000461
926,PMT022,10006573
927,PWI024,10002517
928,PWI016,10002522
929,PVA002,10006672
930,PNV001,10002987
931,PWI061,10000991
932,PVA055,10003308
933,PNV022,10000258
934,PNV004,10003800
935,PNV008,10002988
936,PWI048,10001004
937,PAR013,10000066
938,PWV002,10001108
939,PNV020,10002998
940,PMO005,10001618
941,PNH004,10006597
942,PVA006,10001597
943,PMD022,10001567
944,POR017,10002957
945,PNV009,10003012
946,PVA039,10001590
947,PNC054,10004165
948,PMA003,10002097
949,PME002,10000100
950,PNC063,10001778
951,PHI008,10001191
952,PNC007,10006348
953,PKS015,10001048
954,PFL053,10000426
955,PFL048,10005212
956,PWY005,10000055
957,PFL163,10000361
958,PFL144,10000405
959,PFL096,10000509
960,PNC008,10004170
961,PFL094,10000441
962,PVA025,10001603
963,PFL072,10000335
964,PFL024,10000387
965,PNC069,10001777
966,PFL039,10000503
967,PWI013,10002570
968,PFL140,10000457
969,PWI027,10001696
970,PHI009,10000126
971,PWI069,10002569
972,PNC011,10004216
973,PNM012,10003769
974,PNC072,10006217
975,PNC026,10004194
976,PWV017,10000014
977,PWA018,10002455
978,PNC075,10001021
979,PFL043,10006328
980,PWI070,10002568
981,PFL102,10006208
982,PNC036,10004193
983,PNC053,10004143
984,PNC068,10004213
985,PNC030,10004157
986,PAK022,10001240
987,PWI071,10002591
988,PSC025,10002689
989,PNM006,10001243
990,PFL006,10002176
991,PNC035,10001797
992,PIL007,10000669
993,PMO018,10001606
994,PMA015,10002098
995,PNC055,10001788
996,PNV021,10002995
997,PAR005,10000088
998,PWY007,10000057
999,PNC033,10001775
1000,PNJ033,10001516
1001,PNC047,10001763
1002,PWY006,10006189
1003,PNC042,10001770
1004,PNC060,10001747
1005,PNC057,10004226
1006,PNC045,10004219
1007,PVA033,10001583
1008,POK020,10003585
1009,PWI046,10001003
1010,PVA043,10003307
1011,PNC048,10001782
1012,POK032,10003592
1013,PHI001,10000124
1014,PWI011,10000999
1015,PSC028,10002688
1016,PNC021,10001787
1017,POH019,10000984
1018,PAR026,10001906
1019,PSC020,10001145
1020,PWI043,10001007
1021,PFL100,10000510
1022,PVA035,10001592
1023,PFL134,10000547
1024,PFL143,10006206
1025,PKS013,10001028
1026,PNC034,10001025
1027,PAR024,10000084
1028,PIL027,10000664
1029,PNE009,10001742
1030,PWI054,10000995
1031,PVA041,10005834
1032,PWI045,10000993
1033,PFL005,10002177
1034,PNC006,10001759
1035,PWI025,10000992
1036,POK022,10001725
1037,PVA051,10001593
1038,PWV007,10001875
1039,PVA048,10000925
1040,PIL001,10002259
1041,PIL054,10000677
1042,PSC007,10001133
1043,PAL041,10000143
1044,PKY036,10000116
1045,PWI067,10001000
1046,PIL002,10000683
1047,POK025,10001732
1048,PFL071,10000334
1049,PWI018,10001001
1050,PCT040,10000928
1051,POH065,10003432
1052,PAK008,10006386
1053,PFL023,10000388
1054,PPA070,10003054
1055,PFL093,10000440
1056,PVA038,10001589
1057,PFL085,10000392
1058,PPA078,10003047
1059,PFL047,10000422
1060,PGA090,10006322
1061,PAL006,10001223
1062,PMO028,10004068
1063,PPA067,10003107
1064,PFL095,10000508
1065,PFL038,10000504
1066,PAR004,10000085
1067,PIL028,10000665
1068,PWI012,10001697
1069,PAR006,10000075
1070,PNJ038,10004017
1071,PNV016,10003005
1072,PIL021,10000653
1073,PIL045,10000695
1074,PIL022,10000660
1075,PUT003,10002617
1076,PCO022,10000585
1077,PFL042,10004646
1078,PAR017,10000078
1079,PWA024,10001681
1080,PKS001,10001045
1081,PLA012,10000972
1082,PWA002,10001677
1083,PPA061,10003052
1084,PIL008,10000642
1085,PGA036,10002144
1086,POH009,10002428
1087,PGA116,10002142
1088,PVA024,10003327
1089,PMS028,10001807
1090,PPA056,10000733
1091,PMS006,10004248
49,PMA006,10001401
122,FFL085,10000330
138,PNH008,10006596
190,PMT007,10006571
259,PFL050,10004627
277,FOH393,10003413
305,PFL049,10000525
306,PNY039,10003136
309,POH062,10003419
316,PDE012,10000706
333,PNM014,10003787
349,PNY061,10003170
369,PAK026,10003761
374,POK049,10003572
382,PCO046,10000575
385,PNM016,10003775
399,PMI041,10000274
400,PNV018,10003006
401,PVA042,10001581
403,FCO058,10000579
404,PAZ018,10000598
406,PNM013,10001244
409,PGA079,10000308
412,PAL009,10001209
413,PFL086,10000391
414,PTX042,10002845
420,PCO024,10000569
424,PTX016,10000183
426,PCO007,10002225
427,PCO027,10000577
429,PSC018,10002687
430,PTX053,10002928
432,PNE001,10004139
433,PNY057,10003197
436,PTX063,10000204
438,PNM004,10001246
439,PTX130,10002759
440,PNY042,10003204
441,PKS007,10001830
443,FFL090,10001435
446,PFL135,10000548
447,FMN176,10000263
452,POK023,10001731
453,PNY044,10003125
454,PNY015,10003188
455,FAL007,10000141
456,FNY225,10003202
457,PFL142,10006207
458,FCO061,10000581
459,POK024,10001729
460,FPA246,10003066
461,FCA041,10006179
462,FWV353,10006152
463,PTX071,10001984
464,PTX085,10000157
468,FNC196,10006148
469,PTX112,10002802
470,FNC194,10001760
472,FWI349,10000994
475,FCT064,10000935
476,PAZ014,10002248
477,PKY032,10000107
479,FNC195,10001748
480,PMI031,10001341
481,PTX094,10000185
484,PIL056,10000696
485,PTX001,10000244
486,FTX324,10000192
487,PGA058,10000297
490,PNY021,10000754
491,PKY033,10000101
493,PTX097,10002940
495,FPA245,10003068
497,PMO012,10001617
498,FPA262,10003075
499,FKY132,10001941
500,FMD161,10004024
501,PMO036,10001615
503,PTX087,10000224
504,FPA244,10003067
506,FNC201,10001745
507,PAL043,10000132
508,FIN124,10004923
510,PGA092,10000310
512,PTX073,10000203
513,PNJ004,10004018
514,FVA336,10003329
516,PNY020,10003198
517,FTX292,10000226
518,PTX107,10002758
519,PFL121,10000420
520,FVA340,10001586
522,PTX024,10000241
524,FNC198,10001761
525,PMI024,10001345
529,PGA048,10006154
530,PGA069,10002137
531,PTN007,10003492
533,FTX299,10000182
534,PMI016,10000277
538,FWV361,10006201
539,PTX105,10002862
541,PTX083,10000176
543,PTX090,10002857
546,PAZ009,10000632
548,POR010,10002968
549,PTX103,10000212
550,PTX081,10002905
552,PCA040,10000794
554,PGA054,10000298
556,PTX082,10000211
559,PCA056,10000861
560,PTX009,10002731
561,PCA025,10000801
563,PTX099,10000229
565,PTX129,10000215
566,PCA051,10002310
569,PCA018,10000824
570,PTX061,10001978
574,FNJ213,10000770
575,PCA074,10000782
576,PTX064,10000187
578,PCA093,10000790
579,PCA076,10000841
583,PAZ016,10000628
586,PCA029,10000817
0,PAL007,10000142
1,PAL014,10001226
2,PAL001,10003721
3,PAL017,10003728
4,PAL029,10000146
5,PAL021,10001199
6,PAL040,10006241
7,PAR025,10001910
8,PAR009,10001908
9,PAZ007,10000605
10,PAZ008,10000606
11,PAZ019,10000622
12,PCA022,10000825
13,PCA014,10002341
14,PCA082,10002309
15,PCA059,10000844
16,PCA017,10000857
17,PCA016,10002345
18,PCA091,10000821
19,PCA021,10002323
20,PCA082,10000847
21,PCO012,10002226
22,PCO016,10000578
23,PCO029,10000576
24,PCO015,10002227
25,PCO025,10000560
26,PCO026,10000561
27,FCO059,10000580
28,PCO014,10000563
29,PCO053,10000593
30,PCO045,10000587
31,PCO038,10000586
32,PCO047,10000554
33,PFL123,10000418
34,PFL122,10000419
35,PFL164,10001459
36,PGA113,10002126
37,FGA097,10000327
