"","FACILITYID","STATE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Missing_LST"
"12",10000633,"IL",34.5690475542856,26.236121096591,36.3237604805146,NA,33.2814194199332,36.8628655281465,30.2623805037501,35.9649494179833,30.4688656994535,41.0226795821026,40.0469914007012,40.2515074952882,46.4801160692827,40.0335128109563,43.0901007132097,41.1655790663437,41.0460685187108,44.1947979631788,41.6962267385359,40.7315358997111,44.7873556932576,46.5797706618142,43.8537666414892,48.1681091393747,43.8826040126929,38.7775236134051,44.8262394402374,44.0444353711614,46.1224918404046,43.8114535817483,45.6132123656816,44.9266116651145,41.0022516580163,43.5147009881437,1
"13",10000635,"IL",38.2901780973383,38.8365934174749,16.8836010953997,37.1075257802306,36.3551556182754,38.9427091572366,37.292096813512,41.5253978167336,41.0342369560075,41.6550325359491,38.4868413144491,40.3893003306168,41.2988310180599,38.5709256369151,40.2526209766677,40.500528056997,41.0790468619609,39.5537569537255,40.6624471105541,36.1213727721886,41.6140306689785,40.8495329022633,39.2789669633535,39.7840774135326,37.5472594593696,42.4421390936737,40.4056253964568,39.5061993098272,39.8385469222623,40.0734491595437,40.1208536924467,39.1968714444217,38.7148866341859,36.890519075107,0
"14",10000636,"IL",37.8492164790336,38.3572982810756,14.2068802252101,34.849169947395,35.0364775184874,38.1262607794958,36.4270815058824,39.9383972882353,37.3183114947059,39.6039587024202,37.4863241579832,38.1993421753025,38.9966050808644,37.4956699883674,38.2179159986051,38.7836385581513,38.3730402230883,38.6657285309454,38.0864704302341,33.0921503675126,38.246958895021,38.6131405620518,39.8810840651681,39.7966871965378,35.5391591109484,37.7407172472269,38.1670840560696,38.7556191481849,37.6697993060985,37.6373406940817,39.1022591138716,36.8493282501681,36.3691767890757,35.3924283084484,0
"15",10000638,"IL",28.6207322473976,26.1324264805152,9.14011518987452,27.5214486273118,29.1496063124075,28.0136660834016,29.0367320716909,27.9844142438111,31.3820581939366,35.5549052421268,32.9015332656605,38.9701325798151,34.5543760236427,31.3730557899835,32.7165269128699,33.6623736435106,35.0342267747789,37.2728504822127,35.4677527871549,30.6419703222589,35.1683818142642,40.2585917920806,40.7460897165918,34.7293194606605,36.0753922897655,37.4011214280581,36.3941845508785,33.3085013370839,40.6452238861889,38.1323858112946,40.0115472851123,35.6690290694155,35.7480417555143,37.324045447951,0
"16",10000642,"IL",32.3281733238119,29.984794894412,32.3031250320086,27.3568101170307,33.6292806526901,35.4102916007666,32.7346087860966,32.1344589970513,38.7130441323169,36.6120848516253,33.8913966479577,35.601152426694,39.7232829864731,35.7565515097646,36.5399836252388,36.0758546438623,34.8818706563588,36.4939418076439,33.6324297801151,32.4922721321868,35.7952160504484,38.223289533705,40.9462796398404,37.416696871514,34.6155392304039,34.0119690086636,36.6665552619829,36.2472261244002,34.0164557094265,36.2148214893931,37.8796654724344,37.4465918530245,33.9875533897205,34.1224569731224,0
"17",10000644,"IL",33.7095000403639,33.5752270189232,31.4691367536689,NA,35.6740562601553,35.078181584139,30.6269458594311,32.7599473010469,39.2974036105578,32.5875623469572,33.0458658876237,35.202560743406,34.4325810083703,34.4408558404014,33.0369756475993,37.1278780185187,34.8022193264853,33.664260768491,32.8173702005082,31.3131547285198,34.8291857279456,-1.04490683986617,38.354804816252,34.0689170611706,33.053894798241,33.3143507374509,35.7886761447226,34.8750234861321,35.6018582925038,36.9348582052557,35.8613605285138,37.7999521380722,35.1310739434728,36.9912474989509,1
"18",10000646,"IL",33.0070197958029,28.3422743740639,-12.646042822138,26.5822231793116,29.7890631094887,34.5406565314251,29.7999893037524,28.846953771731,27.8016536361196,38.4170332878925,34.1616489928235,39.4061639818872,43.3100889774293,33.442370955097,35.0605543089227,36.726617383594,35.1242802384339,40.8389033654392,35.0476715586314,32.3882124856005,35.7143799386344,37.8190646567112,39.0483499145519,38.2944074139038,35.3396126563483,34.9273894987817,38.3596396572328,33.8185954857074,37.4097748647675,36.2186227757257,39.0569293401414,31.4082391449711,33.8807475654906,34.2419034439323,0
"19",10000647,"IL",32.2633459180982,27.4579263062258,8.76752211561279,27.0739662196024,32.3053193811012,36.8406592051431,33.1758158377928,29.9450754076877,31.6940325603974,41.5124879826348,36.4773500799246,43.8691799987538,42.1946679238579,35.7571143287102,37.1493747275643,35.7319956426906,37.8084918763752,41.8245527349093,37.5616765090281,33.5170039983541,37.090426816804,44.7607413482848,39.4778178879664,39.4272771994683,37.1423372259245,36.328068842224,39.2171573362391,36.1775229887434,39.3006065669055,37.1412956658391,41.8771411019102,31.8409532092802,35.4196983757821,35.8746861151368,0
"20",10000652,"IL",32.141968955081,26.670813613911,35.4520641250978,27.5150735697505,30.7603005766217,32.5001798545516,31.1704530682367,30.2642677734998,34.4986886044707,41.5513366946325,34.0055564650607,40.3316725994741,38.1070920126703,32.5931058525725,33.4228809885165,33.5734837296932,36.0848294212924,41.0176091372523,34.4896720061043,29.5559022353759,34.3918417130051,37.9372374959256,41.0276314743595,35.1913685910081,33.3327930287705,36.5601478082079,36.9686795708261,31.9555002665779,37.2349880148517,35.6561240779079,35.9087856738564,33.3999053191066,33.1903760139139,35.4290561583446,0
"21",10000653,"IL",33.7916672351453,31.2865638796876,38.3974284653174,NA,35.934204041907,34.1295709560901,33.65970572245,31.28949790473,37.3538771837623,30.8514729152932,34.2555778021402,39.0576608483385,37.9077437702987,35.9667959417494,36.2834302742313,40.5303218715521,33.3546833434736,36.2853481017314,34.2915197428821,31.3358584397125,37.5510932470444,40.9556198915559,39.0346326768488,35.1021412687937,36.3701138437037,35.4718751862774,36.3707572079543,35.244421493771,37.2584595352884,38.7676821429007,35.9593811984988,35.4595633828764,33.8711296100641,34.3284270322279,1
