"","FACILITYID","STATE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Missing_LST"
"16",10000642,"IL",38.77675934,34.76058584,36.0355073,30.86746106,37.95985256,39.977338865,37.73768126,40.769465,42.77926076,41.73334664,39.2547938514286,41.187147044,45.254761745,41.30609414,42.32637311,41.14373819,39.8212085942857,41.07879581,41.29811876,39.716031236,40.8886074114286,44.39142686,49.30938797,43.764334124,40.549344512,42.421508,42.86357192,42.96383384,41.46901976,41.966626505,44.436316856,42.94503473,38.60756735,37.1214610828572,0
"17",10000644,"IL",36.273914195,36.23830982,34.65462722,NA,38.86050083,38.76137825,34.29573512,36.644769365,42.66304808,35.78428283,36.42459191,38.27260139,39.7098788,37.51323128,37.32524018,40.0273274075,38.65371062,37.95795366,36.839425604,35.9725180742857,39.1439523457143,13.04191709,42.86129324,39.3890732085715,37.7362163942857,37.9910419925,39.78564491,39.160261184,40.761774455,39.82267346,39.833782025,41.52883511,37.8650801872728,40.9315768057143,1
"18",10000646,"IL",36.15058064,31.36991,-7.89516441999998,29.45923682,34.92123278,39.01374206,34.14192422,33.31134536,31.53397496,41.9999522,37.62032924,43.7089622,48.22758464,37.500470672,38.99722163,41.10784898,38.7713881657143,44.48143472,38.87929994,35.2664528,39.560340425,44.49054944,46.2041168,43.42526654,38.854519295,39.2142659,41.987134625,37.2967566800001,41.03493122,41.03265254,43.87302716,38.1204995000001,38.15297069,36.19843292,0
"19",10000647,"IL",35.08643708,31.84501478,36.2064083,31.00418186,35.94151175,40.41399092,36.72936536,30.19411112,37.37537114,47.34687482,40.43791706,51.93613634,50.62703468,40.06592255,44.19432104,40.47209726,43.0257854525,47.0107695200001,43.03903028,39.31452782,42.83280974,56.2667676800001,47.33548142,47.01418754,43.20594359,43.36374218,45.7882577,40.8617515400001,47.09451101,43.57395041,46.66668884,40.02433664,40.76490764,39.7611491,0
"20",10000652,"IL",35.6817422300001,31.3015496,38.97329549,31.90312112,35.13827705,35.73130352,34.5657587000001,35.67319718,38.26747436,46.8250571,38.23899086,49.03081934,43.69699913,37.98605738,39.39371195,39.0433649,41.853831845,45.45044339,41.453923505,37.18908905,40.22201213,46.69118465,45.76661024,43.17404207,41.461272248,44.8369088000001,43.90720736,36.98913488,42.93307166,41.6980271,43.537206695,39.23477402,37.819030136,39.0096119525,0
"21",10000653,"IL",38.8946810300001,36.4285796,46.29298532,NA,42.68013818,39.29174102,39.56632196,36.0047451200001,42.72799046,37.1520605,40.07902496,44.80101959,43.2133493,41.8575347,41.70429347,47.01418754,39.3226659628572,41.78005958,41.85981338,39.0205781,43.50843836,47.527574144,43.43381159,39.86710772,41.66042888,40.26701606,46.81423337,40.81389926,41.70258446,42.462752108,41.706856985,39.900604316,37.85883108,38.367964148,1
"22",10000655,"IL",35.80649996,41.95551794,35.58603767,36.60289862,35.83897115,36.3317357,36.4319976200001,34.88021654,22.49673008,44.51048789,39.18806108,NA,48.02763047,41.636958476,36.7396194200001,41.68321568,44.642936165,42.94674374,39.54239582,39.14419649,43.07321048,48.47026406,47.69779154,43.9824038,42.19990637,39.8067227,42.59013032,41.681221835,45.383792,41.30210645,45.1616207,34.85970842,41.25767219,39.4001207375,1
"23",10000657,"IL",39.828654995,42.20275472,7.32482290400002,36.02867126,39.115997825,40.7826487914286,40.26929474,40.44589244,37.86243899,42.9569978,41.148181616,46.27760423,47.637121685,42.4457596657143,43.145672504,42.4643146314286,43.80787115375,43.34665208,45.654670085,43.475853236,44.94229775,46.66497983,46.748949188,39.25926983,43.50615968,41.67410096,47.6474978171429,45.57406178,46.7119369142857,42.989127188,45.13047874,42.82825238,41.700533648,41.935864325,0
"24",10000658,"IL",33.29881262,34.3777676,5.56112458400001,29.37720434,40.8321287,39.1878983171429,37.85389394,38.04530306,41.21836496,39.44270357,38.37286331,47.50809143,47.649084755,41.6705405225,40.238304692,41.8197737171429,40.5107471784615,42.877244,39.685098155,34.958831,40.41911795,44.48997977,47.23237115,45.042673604,40.42823267,41.79601034,39.23363468,42.9399077,42.16230815,42.6446762225,45.99390857,45.33366104,45.21630902,43.0966107707693,0
"25",10000659,"IL",32.49671726,32.37993491,5.70263061200004,31.4792866400001,40.81845662,38.8880891342857,38.68105478,38.22759746,40.4675399,39.49568288,36.95438501,46.44166919,46.105848725,40.408674,40.385792255,41.5944895775,40.6222272153846,40.4713377,38.60073131,34.9363697257143,40.8866542571429,47.214483512,46.84328654,43.32500462,39.70304276,42.44543414,40.8036452,41.99653418,41.111267,41.3832437342857,43.6349051,39.44384291,41.30096711,42.540341162,0
"26",10000660,"IL",37.7103371000001,39.0946352,41.49066722,NA,44.67967988,37.84591856,37.53772709,35.39291954,41.42914286,37.36340807,37.09338449,42.8031869,41.44509362,40.65325232,42.47049962,42.38106143,39.8456230228572,41.77835057,39.59138744,35.83213511,43.504564604,44.84032682,44.837763305,40.4618432,37.92225434,39.653823272,40.0004105,43.05441137,40.710504155,42.426350195,42.41695064,39.956830745,38.31703565,40.854060995,1
"27",10000662,"IL",35.05966259,34.673996,33.50959052,33.8650646,NA,38.490785,37.43176847,37.4198054,36.61827971,42.513509705,39.20970854,41.37445454,45.969640628,39.74064098,48.31645316,39.27579026,41.772995672,42.918032372,38.881863455,36.28844078,41.501775785,40.08244298,48.96929498,41.82107582,36.18817886,39.573158,41.508611825,38.18658122,40.570536236,38.95449638,41.67865832,37.34119094,41.10272195,36.27989573,1
"28",10000664,"IL",35.05624457,40.32626174,3.98883538400002,33.13873535,36.07994156,35.97740096,36.34996514,33.99153134,37.19250707,34.7391011428572,36.006795932,44.5463771,45.09155129,36.345179912,37.044677705,39.0882264125,36.9007922092308,39.920770634,35.677469705,33.736547048,37.81363726,41.02695584,43.41159446,36.4114895,36.78861104,37.1064869,37.6468595857143,36.99597092,37.6034019028572,37.39417025,38.0274534,36.3660786628572,36.771065204,37.89301128,0
"29",10000665,"IL",36.50719406,41.36647916,5.11746558800001,37.68128393,36.133775375,36.867453368,36.2234984,34.99984724,39.20401184,38.44692041,36.872238596,44.90697821,44.485707245,39.592147,42.076003145,40.443898595,39.996137975,42.4654243781818,39.84546026,38.87474258,42.29162324,45.6456977825,47.50923077,40.91530052,39.43017083,40.17017216,41.672676785,41.1747445142857,41.9799323685714,43.31437078,44.186459594,40.6415333942857,41.24760802,41.668746062,0
"30",10000667,"IL",38.79214043,39.87736178,38.58705923,NA,40.85149748,36.89798768,39.50821562,40.34733953,41.83246922,38.05327844,42.72115442,45.30688655,45.63672548,39.43131017,41.55902762,40.262914436,39.929486585,44.31566075,39.23990105,37.05749528,43.18942316,46.182241472,45.02034254,39.027129305,38.128190045,39.82438247,39.43871588,41.36932751,42.32010674,43.567968875,38.871780296,41.684127152,38.7899431314286,41.982007595,1
"31",10000669,"IL",37.90858226,38.22645812,-15.172129,39.60221117,36.63707882,39.04678292,36.57555446,NA,39.55948592,43.648292345,39.691934195,NA,53.6554004,43.4697008,44.13963272,46.13233838,47.3066723942857,48.187935608,45.60767231,42.76331,48.336277676,54.35267648,51.46672826,46.37843582,47.36795261,39.02969282,47.81286488,45.767293844,48.989119496,46.95266318,48.59274311,46.64333237,44.1318201028572,43.69870814,2
"32",10000671,"IL",35.92783967,35.44931687,-15.47462377,NA,35.77061075,35.323875536,37.1463638,33.94367906,37.03869617,37.33777292,37.92738137,44.35496798,41.95323926,37.79407859,38.38710506,38.3996378,36.9368880028572,41.658833804,37.88009876,31.49979476,40.60198202,42.79635086,42.94902242,33.8024009,35.209030064,37.663339325,38.10568808,39.62784632,36.75670952,38.4735321371429,38.222185595,40.128928052,35.460425435,34.36580453,1
"33",10000672,"IL",39.92863208,31.442542925,16.76300153,32.74737206,38.38368704,34.32706697,32.1731447,39.11856134,37.21814222,39.3054131,33.906935345,39.78165722,41.96691134,38.2379939375,40.8583335200001,38.54433398,38.6670719709091,40.964576975,36.52314482,30.67605194,39.08779916,41.4891481,40.26018002,38.97956186,35.174849864,38.96095264,39.7410682325,39.8275563457143,39.8470268525,39.1844802971429,36.9630114414286,38.474948174,38.05384811,39.218538425,0
"34",10000673,"IL",39.2518641200001,39.15615956,-13.64883142,40.64299826,34.99130219,34.985320655,35.67319718,34.59481187,32.65508552,40.27727012,35.29379696,36.82506992,44.40282026,37.447833164,35.3365222100001,41.25482384,39.8649714575,41.098449425,35.33823122,36.05772443,39.3446389485714,41.04119759,48.74028764,40.01066456,39.30142541,33.760473188,37.672055276,39.5257329725,37.03983551,38.39849846,37.749986132,36.776534036,35.13849067625,36.933079352,0
"35",10000674,"IL",44.29344362,42.75647396,25.48749758,47.7080456,40.06193486,42.57076154,38.75625122,40.29606923,34.8733805000001,44.8124943714286,38.77846835,44.62328255,46.734593504,42.419001452,38.5933256,45.21175166,46.1870267,45.47436953,42.92737496,43.636500176,46.76182373,51.71054702,51.98740664,46.98342536,48.35234237,40.744684355,47.138090765,44.562612695,46.14885881,44.921675696,46.12892036,49.1948843,42.4014141854546,44.26097243,0
