,FACILITYID,STATE,Year,Mean_LST,Mean_LST_F
44,10000688,IL,1990,47.5815321722623,117.64675791007214
45,10000689,IL,1990,36.9870678449918,98.57672212098524
46,10000694,IL,1990,38.4747843846656,101.25461189239807
47,10000695,IL,1990,35.2226277505823,95.40072995104813
48,10000696,IL,1990,35.3765837288545,95.6778507119381
49,10000941,MO,1990,35.1124093977838,95.20233691601084
50,10000942,MO,1990,32.4387292136114,90.38971258450053
51,10000976,OH,1990,31.8917518832743,89.40515338989374
52,10000978,OH,1990,24.5869381794409,76.25648872299362
53,10000980,OH,1990,28.1844192879012,82.73195471822217
54,10000981,OH,1990,24.8355894219815,76.7040609595667
55,10000982,OH,1990,30.2246386147452,86.40434950654137
56,10000983,OH,1990,,
57,10000984,OH,1990,30.4605416319676,86.82897493754169
58,10000988,WI,1990,24.1047290317734,75.38851225719212
59,10000990,WI,1990,31.4651557237319,88.63728030271741
60,10000991,WI,1990,29.1219311305523,84.41947603499415
61,10000992,WI,1990,34.9893546418643,94.98083835535574
62,10000993,WI,1990,30.5904578108649,87.06282405955682
63,10000994,WI,1990,34.8751434943165,94.7752582897697
64,10000995,WI,1990,41.5618883534679,106.81139903624222
65,10000998,WI,1990,33.1566922929253,91.68204612726555
66,10000999,WI,1990,32.4523042419322,90.41414763547795
67,10001000,WI,1990,34.5327854836151,94.15901387050718
68,10001001,WI,1990,31.669727498215,89.005509496787
69,10001002,WI,1990,35.038291036089,95.0689238649602
70,10001003,WI,1990,27.7832069115459,82.00977244078263
71,10001004,WI,1990,29.2494322243953,84.64897800391154
72,10001005,WI,1990,28.0941572990052,82.56948313820936
73,10001007,WI,1990,,
74,10001008,WI,1990,,
75,10001009,WI,1990,,
76,10001028,KS,1990,29.7731724412078,85.59171039417404
77,10001029,KS,1990,39.0058789799001,102.21058216382019
78,10001030,KS,1990,38.3809951758727,101.08579131657086
79,10001031,KS,1990,39.902782263542,103.8250080743756
80,10001033,KS,1990,37.3361891599698,99.20514048794564
81,10001040,KS,1990,39.7628337644537,103.57310077601667
82,10001042,KS,1990,41.6947500719049,107.05055012942881
83,10001043,KS,1990,41.7690882789409,107.18435890209362
84,10001044,KS,1990,38.8749446571367,101.97490038284606
85,10001045,KS,1990,38.8761947084015,101.9771504751227
86,10001048,KS,1990,45.582281433531,114.0481065803558
87,10001050,KS,1990,40.9594069640322,105.72693253525796
88,10001051,IN,1990,31.0572548633917,87.90305875410506
89,10001054,IN,1990,29.2079924021152,84.57438632380736
90,10001059,IN,1990,27.80019444525,82.04035000145001
91,10001060,IN,1990,30.1536632518393,86.27659385331074
92,10001061,IN,1990,29.3608647470009,84.84955654460163
93,10001063,IN,1990,25.4575541545858,77.82359747825444
94,10001065,IN,1990,26.9878699632255,80.5781659338059
95,10001067,IN,1990,29.0048011233408,84.20864202201344
96,10001068,IN,1990,28.6930285906124,83.64745146310233
97,10001071,IN,1990,31.666596652462,88.99987397443161
98,10001072,IN,1990,26.3824561894004,79.48842114092072
99,10001073,IN,1990,31.5769832659284,88.83856987867112
100,10001075,IN,1990,28.1818319384067,82.72729748913206
101,10001076,IA,1990,26.4562399880039,79.62123197840702
102,10001077,IA,1990,29.160906108655,84.489630995579
103,10001078,IA,1990,38.1887867647959,100.73981617663262
104,10001080,IA,1990,32.6259622561526,90.72673206107467
105,10001082,IA,1990,33.8383072016398,92.90895296295164
106,10001087,IA,1990,29.429995142194,84.9739912559492
107,10001089,IA,1990,35.7614149206056,96.37054685709009
108,10001090,IA,1990,30.9136567281429,87.64458211065721
109,10001091,IA,1990,32.2418922802338,90.03540610442084
110,10001095,IA,1990,41.3165720630691,106.36982971352438
111,10001096,IA,1990,33.2178515472361,91.79213278502499
112,10001099,IA,1990,28.5359856717555,83.3647742091599
113,10001100,IA,1990,32.4535682902133,90.41642292238393
114,10001118,SD,1990,32.9646606709384,91.33638920768912
115,10001121,SD,1990,34.9855101769732,94.97391831855177
