,FACILITYID,STATE,TYPE,pm25_2019_2022_mean,delta_from_naaqs,pm25_1998,pm25_2019,pm25_2022,statewide_1998_mean,statewide_2019_mean,statewide_2022_mean,perc_natl_1998,perc_natl_2019,perc_natl_2022,delta_natl_1998,delta_natl_2019,delta_natl_2022
817,10001913,VT,STATE,5.337499976158142,-3.662500023841858,8.89999961853027,5.14999985694885,5.0,9.791666666666666,5.0,5.3083333333333345,-0.07351171087521395,0.022314969231100247,-0.044646375098502916,-3.2295922182044254,-1.5719389185613544,-1.906122448979593
818,10001914,VT,STATE,5.675000071525573,-3.324999928474427,9.89999961853027,5.30000019073486,5.69999980926514,9.791666666666666,5.0,5.3083333333333345,0.008931294088191447,0.04463000939964516,0.05671293534473547,-2.2295922182044254,-1.4219385847753445,-1.2061226397144527
819,10001918,VT,STATE,5.22499990463257,-3.77500009536743,9.30000019073486,5.0,5.09999990463257,9.791666666666666,5.0,5.3083333333333345,-0.040534461715585945,0.0,-0.030166483470264332,-2.8295916459998356,-1.7219387755102042,-1.8061225443470228
820,10001925,SC,STATE,7.125,-1.875,16.2999992370605,7.19999980926514,7.19999980926514,15.533333333333333,6.816666666666667,6.933333333333334,0.06320624090625254,0.05702716960098725,0.03861305354804529,4.170407400325805,0.478061033754936,0.29387736028554734
821,10001928,SC,STATE,7.125,-1.875,16.2999992370605,7.19999980926514,7.19999980926514,15.533333333333333,6.816666666666667,6.933333333333334,0.06320624090625254,0.05702716960098725,0.03861305354804529,4.170407400325805,0.478061033754936,0.29387736028554734
822,10001931,SC,STATE,5.993750035762788,-3.0062499642372122,13.1000003814697,6.00000011920929,6.125,15.533333333333333,6.816666666666667,6.933333333333334,-0.2006112806281114,-0.12149270838834601,-0.117045902285264,0.9704085447350046,-0.7219386563009138,-0.7811224489795929
823,10001933,MT,STATE,5.649999976158142,-3.350000023841858,4.90000009536743,4.69999980926514,4.90000009536743,6.341666666666668,5.383333333333334,6.124999999999999,-0.1188553242931987,-0.1016572073756098,-0.17737882779845118,-7.2295917413672655,-2.021938966245064,-2.006122353612163
824,10001936,MT,STATE,5.299999952316284,-3.700000047683716,4.30000019073486,3.90000009536743,4.59999990463257,6.341666666666668,5.383333333333334,6.124999999999999,-0.16832111940886443,-0.22067044754559176,-0.22081857172873526,-7.829591645999836,-2.8219386801427744,-2.306122544347023
825,10001938,ME,STATE,4.149999976158142,-4.850000023841858,7.40000009536743,4.0,4.09999990463257,8.283333333333333,4.666666666666667,4.591666666666666,-0.07282464652196392,-0.09917773561037323,-0.07119288220942875,-4.7295917413672655,-2.7219387755102042,-2.806122544347023
826,10001940,KY,FEDERAL,7.375,-1.625,16.2000007629395,7.09999990463257,7.30000019073486,16.133333333333333,7.533333333333332,7.424999999999998,0.00549626322991866,-0.06446554233423103,-0.018099854178462698,4.070408926204804,0.3780611291223659,0.3938777417552668
827,10001941,KY,FEDERAL,7.375,-1.625,16.2000007629395,7.09999990463257,7.30000019073486,16.133333333333333,7.533333333333332,7.424999999999998,0.00549626322991866,-0.06446554233423103,-0.018099854178462698,4.070408926204804,0.3780611291223659,0.3938777417552668
