,FACILITYID,STATE,TYPE,pm25_2019_2022_mean,delta_from_naaqs,pm25_1998,pm25_2019,pm25_2022
233,10000444,FL,STATE,6.7249999046325675,-2.2750000953674325,12.75,6.5,6.69999980926514
234,10000445,FL,STATE,6.674999952316285,-2.325000047683715,12.6999998092651,6.45000004768372,6.64999985694885
235,10000450,FL,STATE,6.350000023841857,-2.649999976158143,12.3999996185303,6.19999980926514,6.30000019073486
236,10000453,FL,STATE,7.025000035762788,-1.9749999642372122,11.5,6.75,7.0
237,10000455,FL,STATE,6.59999990463257,-2.40000009536743,11.6999998092651,6.59999990463257,6.5
238,10000456,FL,FEDERAL,7.300000071525573,-1.6999999284744272,12.3999996185303,7.09999990463257,7.30000019073486
239,10000457,FL,STATE,6.59999990463257,-2.40000009536743,11.6999998092651,6.59999990463257,6.5
240,10000460,FL,STATE,7.325000047683715,-1.674999952316285,11.8999996185303,7.0,7.30000019073486
241,10000461,FL,STATE,8.212500154972076,-0.7874998450279236,13.0,7.95000004768372,8.30000019073486
242,10000465,FL,STATE,6.850000023841857,-2.149999976158143,12.8000001907349,6.80000019073486,6.69999980926514
243,10000467,FL,STATE,7.843750029802322,-1.1562499701976776,12.75,7.70000004768372,7.75
244,10000473,FL,STATE,7.575000047683715,-1.424999952316285,11.9499998092651,7.45000004768372,7.5
245,10000474,FL,STATE,7.600000023841858,-1.399999976158142,12.0,7.5,7.5
246,10000479,FL,STATE,8.950000286102298,-0.049999713897701525,12.1999998092651,8.60000038146973,9.0
247,10000480,FL,STATE,7.024999976158142,-1.975000023841858,12.3999996185303,6.80000019073486,7.0
248,10000492,FL,STATE,7.5,-1.5,12.3000001907349,7.40000009536743,7.40000009536743
249,10000494,FL,STATE,7.30000001192093,-1.6999999880790702,12.2000002861023,7.25,7.25
250,10000495,FL,STATE,5.374999880790712,-3.6250001192092878,11.0,5.09999990463257,5.09999990463257
251,10000502,FL,STATE,6.537499964237215,-2.462500035762785,10.3999996185303,6.35000014305115,6.45000004768372
252,10000503,FL,STATE,6.574999928474428,-2.425000071525572,10.3999996185303,6.40000009536743,6.5
253,10000504,FL,STATE,6.574999928474428,-2.425000071525572,10.3999996185303,6.40000009536743,6.5
254,10000507,FL,STATE,5.850000023841857,-3.149999976158143,11.1000003814697,5.59999990463257,5.80000019073486
255,10000508,FL,STATE,5.924999833106997,-3.0750001668930027,11.8000001907349,5.59999990463257,5.69999980926514
256,10000509,FL,STATE,6.15000009536743,-2.84999990463257,11.6999998092651,5.80000019073486,6.0
257,10000510,FL,STATE,6.3125,-2.6875,11.6500000953674,6.0,6.25
258,10000512,FL,STATE,7.100000023841858,-1.899999976158142,11.3000001907349,6.95000004768372,7.04999995231628
259,10000518,FL,STATE,8.024999856948853,-0.9750001430511475,13.5,7.69999980926514,7.80000019073486
260,10000519,FL,STATE,8.024999856948853,-0.9750001430511475,13.5,7.69999980926514,7.80000019073486
261,10000525,FL,STATE,7.675000071525573,-1.3249999284744272,11.6999998092651,7.40000009536743,7.69999980926514
262,10000533,FL,STATE,6.90000009536743,-2.09999990463257,13.0,6.5,7.0
263,10000542,FL,FEDERAL,7.233333349227905,-1.7666666507720947,12.1999998092651,6.86666679382324,7.19999996821086
264,10000545,FL,STATE,6.649999976158142,-2.350000023841858,11.6999998092651,6.40000009536743,6.59999990463257
265,10000546,FL,STATE,6.612500011920927,-2.387499988079073,11.6999998092651,6.40000009536743,6.54999995231628
266,10000547,FL,STATE,8.450000047683716,-0.5499999523162842,11.5,8.0,8.5
267,10000548,FL,STATE,8.487500071525572,-0.512499928474428,11.5999999046326,8.0,8.55000019073486
268,10000550,FL,FEDERAL,7.149999976158142,-1.850000023841858,12.1999998092651,6.80000019073486,7.09999990463257
269,10000554,CO,STATE,5.233333428700762,-3.766666571299238,6.59999990463257,4.33333349227905,4.76666673024495
270,10000557,CO,STATE,4.60833332935969,-4.39166667064031,4.93333339691162,3.66666666666667,3.96666661898295
271,10000560,CO,STATE,7.71250009536743,-1.2874999046325701,7.54999995231628,7.25,6.90000009536743
272,10000561,CO,STATE,7.71250009536743,-1.2874999046325701,7.54999995231628,7.25,6.90000009536743
273,10000563,CO,STATE,6.899999976158142,-2.100000023841858,7.19999980926514,6.40000009536743,5.90000009536743
274,10000565,CO,STATE,5.649999976158143,-3.350000023841857,6.59999990463257,4.90000009536743,5.69999980926514
275,10000567,CO,STATE,4.649999976158145,-4.350000023841855,6.0,4.09999990463257,4.45000004768372
